mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
233.06957	63.9	2/85	1.7%	?	?	?	?
233.08637	28.1	3/85	1.5%	?	?	?	?
233.09208	60.4	51/85	2.0%	233.09207	-0.04	a(DY)-H2O	['a(NY)-NH3', 'b(SY)-H2O', 'a(GGY)-NH3']
233.09539	88.8	46/85	2.6%	233.09544	0.21	a(EM)	['b(MT)', 'a(M[Acetyl]S)', 'y(CK)-NH3', 'y(MT)-H2O', 'a(DGS)+i', 'b(GSS)+i', 'y(GSS)-H2O+i']
233.10334	11.9	4/85	0.7%	233.1033	-0.17	a(AHS)-H2O-NH3	['a(GHT)-H2O-NH3', 'y(MV)-NH3+i']
233.1059	32.1	1/85	0.8%	?	?	?	?
233.11321	51.0	6/85	0.8%	233.1132	-0.04	y(DV)	[]
233.11686	23.7	3/85	1.4%	?	?	?	?
233.12438	54.5	1/85	0.9%	?	?	?	?
233.12841	101.6	77/85	3.2%	233.12845	0.17	a(PY)	['b(APV)-H2O-NH3', 'b(GIP)-H2O-NH3', 'b(GLP)-H2O-NH3', 'a(PPT)-H2O-NH3']
233.13005	106.9	1/85	4.1%	?	?	?	?
233.13179	85.2	3/85	2.5%	233.13183	0.17	a(IM[Oxidation])	['a(LM[Oxidation])', 'y(NV)+i', 'a(AST)+i', 'y(AAA)+i', 'a(GTT)+i', 'y(GGV)+i']
233.13636	33.6	1/85	0.5%	233.13656	0.86	a(IY)-NH3+i	['a(LY)-NH3+i']
233.13967	51.7	2/85	1.1%	233.13969	0.09	b(HI)-H2O	['b(HL)-H2O']
233.14959	1227.0	6/85	18.3%	233.14958	-0.04	y(IT)	['y(LT)']
233.16483	362.8	85/85	9.8%	233.16484	0.04	a(FI)	['a(FL)', 'a(PVV)-H2O-NH3']
233.17824	251.6	1/85	3.5%	?	?	?	?
233.22624	22.1	3/85	0.7%	?	?	?	?
233.624	18.0	3/85	0.3%	?	?	?	?
233.81989	28.2	2/85	0.5%	?	?	?	?
234.0229	274.5	4/85	0.5%	234.0231	0.85	C4N11O2	[]
234.03375	62.4	4/85	2.4%	?	?	?	?
234.05258	8.6	1/85	0.8%	?	?	?	?
234.0873	23.2	11/85	1.0%	234.08732	0.09	b(GNP)-H2O-NH3	[]
234.09063	43.2	23/85	1.8%	234.09069	0.26	a(C[Carbamidomethyl]T)	['a(M[Oxidation]N)', 'a(ACS)', 'a(CGT)', 'a(GGM[Oxidation])']
234.09421	24.4	4/85	0.5%	234.09471	2.14	a(FM)-NH3	[]
234.09855	18.9	18/85	1.0%	234.09855	0.0	b(HN)-H2O	['b(GGH)-H2O', 'a(EM)+i', 'b(MT)+i', 'a(M[Acetyl]S)+i', 'y(CK)-NH3+i', 'y(MT)-H2O+i']
234.12366	99.4	77/85	3.3%	234.1237	0.17	a(FN)	['a(FGG)', 'b(HI)-NH3', 'b(HL)-NH3', 'y(HI)-H2O-NH3', 'y(HL)-H2O-NH3', 'a(APQ)-H2O-NH3', 'b(GPP)-H2O']
234.12781	163.0	1/85	0.7%	?	?	?	?
234.13188	42.2	6/85	0.9%	234.1318	-0.34	a(PY)+i	['b(APV)-H2O-NH3+i', 'b(GIP)-H2O-NH3+i', 'b(GLP)-H2O-NH3+i', 'a(PPT)-H2O-NH3+i']
234.13354	27.6	1/85	0.6%	?	?	?	?
234.13491	40.5	8/85	1.4%	234.13494	0.13	a(AAH)-H2O	['a(IM[Oxidation])+i', 'a(LM[Oxidation])+i']
234.1399	36.9	5/85	0.7%	?	?	?	?
234.14488	280.6	83/85	6.0%	234.14483	-0.21	y(KS)	[]
234.14882	40.1	6/85	1.0%	234.14886	0.17	b(IL[Acetyl])-H2O-NH3	['b(LL[Acetyl])-H2O-NH3']
234.15294	196.4	6/85	3.4%	234.15293	-0.04	y(IT)+i	['y(LT)+i']
234.15803	23.4	4/85	0.7%	?	?	?	?
234.16137	44.4	6/85	0.8%	?	?	?	?
234.1682	65.8	34/85	3.1%	234.16819	-0.04	a(FI)+i	['a(FL)+i', 'a(PVV)-H2O-NH3+i']
234.17766	70.4	3/85	1.1%	?	?	?	?
234.4396	19.1	1/85	0.2%	?	?	?	?
234.67938	36.2	2/85	0.5%	?	?	?	?
234.88268	43.2	4/85	1.6%	?	?	?	?
235.0206	42.3	5/85	0.7%	?	?	?	?
235.02634	21.1	1/85	0.5%	?	?	?	?
235.06304	51.8	22/85	1.2%	?	?	?	?
235.07129	23.5	11/85	1.0%	235.07133	0.17	b(DGP)-H2O-NH3	[]
235.07466	21.9	8/85	1.8%	235.0747	0.17	a(DM[Oxidation])	['b(M[Oxidation]S)', 'y(M[Oxidation]S)-H2O']
235.0826	49.2	26/85	1.8%	235.08257	-0.13	b(DH)-H2O	['b(HN)-NH3', 'y(HN)-H2O-NH3', 'b(GGH)-NH3', 'y(GGH)-H2O-NH3', 'y(MT)-NH3+i']
235.09333	12.3	21/85	0.5%	235.09333	0.0	a(MM)	['a(C[Carbamidomethyl]T)+i', 'a(M[Oxidation]N)+i', 'a(ACS)+i', 'a(CGT)+i', 'a(GGM[Oxidation])+i', 'y(DT)', 'y(ES)']
235.09621	16.9	2/85	0.8%	?	?	?	?
235.10768	298.5	85/85	8.1%	235.10772	0.17	b(AY)	['a(DF)', 'b(FS)', 'y(AY)-H2O', 'y(FS)-H2O', 'b(L[Acetyl]N)-H2O-NH3', 'a(AEP)-H2O-NH3', 'b(APT)-H2O-NH3', 'b(GGL[Acetyl])-H2O-NH3', 'b(GPP)-NH3', 'y(GPP)-H2O-NH3']
235.11102	24.3	1/85	0.7%	235.11109	0.3	y(CI)	['y(CL)', 'y(NT)+i', 'y(QS)+i', 'y(AGS)+i', 'y(GGT)+i', 'a(SSS)+i']
235.11897	174.4	75/85	7.5%	235.11895	-0.09	b(HP)	['y(HP)-H2O', 'a(AAH)-NH3']
235.13162	22.4	4/85	1.9%	?	?	?	?
235.1441	185.4	83/85	4.2%	235.1441	0.0	a(VY)	['b(L[Acetyl]P)-H2O', 'a(AAL[Acetyl])-H2O-NH3', 'b(AVV)-H2O-NH3', 'b(GIV)-H2O-NH3', 'b(GLV)-H2O-NH3', 'a(IPS)-H2O-NH3', 'a(LPS)-H2O-NH3', 'a(PTV)-H2O-NH3']
235.14813	25.1	1/85	0.7%	235.14818	0.21	y(KS)+i	[]
235.15364	13.3	5/85	0.8%	?	?	?	?
235.16915	23.6	2/85	1.0%	?	?	?	?
235.17131	28.8	5/85	1.0%	?	?	?	?
235.81522	95.9	5/85	1.3%	?	?	?	?
235.87009	42.7	5/85	1.8%	?	?	?	?
235.88112	134.4	1/85	2.4%	?	?	?	?
235.99775	38.9	6/85	0.8%	?	?	?	?
236.0129	50.3	3/85	2.5%	?	?	?	?
236.01896	25.8	8/85	0.8%	?	?	?	?
236.03185	9.1	3/85	0.4%	?	?	?	?
236.04307	25.7	9/85	0.6%	?	?	?	?
236.04933	68.7	6/85	2.5%	?	?	?	?
236.06656	18.0	13/85	0.9%	236.06658	0.08	b(DH)-NH3	['y(DH)-H2O-NH3']
236.10292	30.1	17/85	1.2%	236.10297	0.21	y(HP)-NH3	['b(AAQ)-H2O-NH3', 'b(GNV)-H2O-NH3', 'a(NPS)-H2O-NH3']
236.111	30.8	24/85	1.5%	236.11107	0.3	b(AY)+i	['a(DF)+i', 'b(FS)+i', 'y(AY)-H2O+i', 'y(FS)-H2O+i', 'b(L[Acetyl]N)-H2O-NH3+i', 'a(AEP)-H2O-NH3+i', 'b(APT)-H2O-NH3+i', 'b(GGL[Acetyl])-H2O-NH3+i', 'b(GPP)-NH3+i', 'y(GPP)-H2O-NH3+i']
236.12236	24.0	22/85	1.7%	236.1223	-0.25	b(HP)+i	['y(HP)-H2O+i', 'a(AAH)-NH3+i']
236.12678	10.2	1/85	0.2%	?	?	?	?
236.12804	23.7	1/85	0.7%	236.12812	0.34	b(L[Acetyl]P)-NH3	['y(L[Acetyl]P)-H2O-NH3']
236.1393	30.0	16/85	1.2%	236.13935	0.21	a(AIN)-H2O-NH3	['a(ALN)-H2O-NH3', 'a(AQV)-H2O-NH3', 'b(AAK)-H2O-NH3', 'a(GIQ)-H2O-NH3', 'a(GLQ)-H2O-NH3', 'b(GPV)-H2O', 'a(PPS)-H2O']
236.14747	19.4	26/85	1.0%	236.14745	-0.08	a(VY)+i	['b(L[Acetyl]P)-H2O+i', 'a(AAL[Acetyl])-H2O-NH3+i', 'b(AVV)-H2O-NH3+i', 'b(GIV)-H2O-NH3+i', 'b(GLV)-H2O-NH3+i', 'a(IPS)-H2O-NH3+i', 'a(LPS)-H2O-NH3+i', 'a(PTV)-H2O-NH3+i']
236.15063	83.8	6/85	3.0%	236.15059	-0.17	b(PR)-H2O	['a(AAR)-H2O-NH3']
236.16176	54.3	3/85	1.3%	?	?	?	?
236.87788	599.0	5/85	12.3%	?	?	?	?
236.97803	27.7	1/85	0.5%	?	?	?	?
237.00298	13.6	9/85	0.4%	?	?	?	?
237.02075	22.5	1/85	1.3%	?	?	?	?
237.0692	8.6	5/85	0.4%	237.06923	0.13	b(ACP)-H2O-NH3	['b(DH)-NH3+i', 'y(DH)-H2O-NH3+i']
237.07573	35.3	5/85	0.9%	?	?	?	?
237.08696	28.9	12/85	1.2%	237.08698	0.08	b(AAE)-H2O-NH3	['a(DPS)-H2O-NH3', 'b(DGV)-H2O-NH3', 'b(PSS)-H2O-NH3']
237.09035	131.2	6/85	1.9%	237.09035	0.0	y(AM[Oxidation])	['y(MS)']
237.09822	20.1	9/85	0.9%	237.09822	0.0	b(DR)-H2O-NH3	['a(ANN)-H2O-NH3', 'a(GHS)-NH3', 'a(GNQ)-H2O-NH3']
237.11048	27.5	4/85	2.0%	?	?	?	?
237.11208	34.5	2/85	0.8%	?	?	?	?
237.12335	171.0	84/85	4.2%	237.12337	0.08	y(AF)	['a(TY)', 'a(ADI)-H2O-NH3', 'a(ADL)-H2O-NH3', 'a(AEV)-H2O-NH3', 'b(AIS)-H2O-NH3', 'b(ALS)-H2O-NH3', 'b(ATV)-H2O-NH3', 'a(EGI)-H2O-NH3', 'a(EGL)-H2O-NH3', 'a(GL[Acetyl]S)-H2O-NH3', 'b(GIT)-H2O-NH3', 'b(GLT)-H2O-NH3', 'b(GPV)-NH3', 'y(GPV)-H2O-NH3', 'a(PPS)-NH3', 'a(PTT)-H2O-NH3']
237.13461	207.2	75/85	8.8%	237.1346	-0.04	b(HV)	['y(HV)-H2O', 'b(PR)-NH3', 'y(PR)-H2O-NH3', 'a(ANP)-H2O', 'a(GKN)-H2O-NH3', 'a(GPQ)-H2O']
237.14598	25.2	1/85	0.8%	?	?	?	?
237.15974	19.2	2/85	0.8%	237.15975	0.04	b(L[Acetyl]V)-H2O	['a(AIP)-NH3', 'a(ALP)-NH3', 'a(ISV)-H2O-NH3', 'a(LSV)-H2O-NH3', 'a(TVV)-H2O-NH3']
237.22119	20.0	4/85	0.5%	?	?	?	?
237.63215	19.8	1/85	0.3%	?	?	?	?
237.80733	40.2	1/85	0.3%	?	?	?	?
237.9083	86.5	1/85	2.9%	?	?	?	?
237.9559	20.1	1/85	0.9%	?	?	?	?
237.99225	52.6	5/85	1.1%	?	?	?	?
238.02424	50.2	2/85	0.4%	?	?	?	?
238.02855	186.2	6/85	5.4%	?	?	?	?
238.0475	43.4	11/85	1.4%	?	?	?	?
238.06504	34.1	5/85	1.8%	?	?	?	?
238.07913	19.0	1/85	0.3%	?	?	?	?
238.08222	32.7	16/85	1.5%	238.08223	0.04	a(ADN)-H2O-NH3	['b(ANS)-H2O-NH3', 'a(DGQ)-H2O-NH3', 'a(EGN)-H2O-NH3', 'b(GNT)-H2O-NH3', 'b(GQS)-H2O-NH3']
238.11859	59.2	67/85	3.0%	238.11862	0.13	y(HV)-NH3	['a(ADP)-H2O', 'a(ANP)-NH3', 'a(AQT)-H2O-NH3', 'b(APS)-H2O', 'a(DGK)-H2O-NH3', 'a(EGP)-H2O', 'a(GPQ)-NH3', 'b(GKS)-H2O-NH3', 'b(GPT)-H2O', 'a(NSV)-H2O-NH3']
238.12658	14.5	24/85	0.9%	238.12672	0.59	y(AF)+i	['a(TY)+i', 'a(ADI)-H2O-NH3+i', 'a(ADL)-H2O-NH3+i', 'a(AEV)-H2O-NH3+i', 'b(AIS)-H2O-NH3+i', 'b(ALS)-H2O-NH3+i', 'b(ATV)-H2O-NH3+i', 'a(EGI)-H2O-NH3+i', 'a(EGL)-H2O-NH3+i', 'a(GL[Acetyl]S)-H2O-NH3+i', 'b(GIT)-H2O-NH3+i', 'b(GLT)-H2O-NH3+i', 'b(GPV)-NH3+i', 'y(GPV)-H2O-NH3+i', 'a(PPS)-NH3+i', 'a(PTT)-H2O-NH3+i']
238.13778	58.1	21/85	2.5%	238.13795	0.71	b(HV)+i	['y(HV)-H2O+i', 'b(PR)-NH3+i', 'y(PR)-H2O-NH3+i', 'a(ANP)-H2O+i', 'a(GKN)-H2O-NH3+i', 'a(GPQ)-H2O+i']
238.15495	16.6	14/85	1.6%	238.155	0.21	a(APP)	['a(L[Acetyl]Q)-H2O', 'a(AGL[Acetyl])-H2O', 'a(AKT)-H2O-NH3', 'b(AAI)-H2O', 'b(AAL)-H2O', 'a(GKP)-NH3', 'b(GVV)-H2O', 'a(PSV)-H2O']
238.16637	48.6	5/85	2.1%	238.16624	-0.55	a(HK)	['b(RV)-H2O']
238.63056	33.2	1/85	0.3%	?	?	?	?
238.63999	11.5	1/85	0.4%	?	?	?	?
238.82344	28.7	3/85	0.4%	?	?	?	?
238.91614	79.2	1/85	2.6%	?	?	?	?
238.97841	49.9	1/85	0.6%	?	?	?	?
239.03623	21.5	3/85	1.6%	?	?	?	?
239.06624	9.3	3/85	0.6%	239.06625	0.04	a(ADD)-H2O-NH3	['b(ADS)-H2O-NH3', 'a(DEG)-H2O-NH3', 'b(DGT)-H2O-NH3', 'b(EGS)-H2O-NH3']
239.08155	25.8	2/85	0.5%	239.0815	-0.21	a(DW)-H2O-NH3	['b(SW)-H2O-NH3']
239.08491	71.6	1/85	2.4%	239.08488	-0.13	a(CY)	['b(C[Carbamidomethyl]I)-H2O-NH3', 'b(C[Carbamidomethyl]L)-H2O-NH3', 'a(M[Acetyl]Q)-H2O-NH3', 'a(AGM[Acetyl])-H2O-NH3', 'b(AAM)-H2O-NH3', 'b(ACV)-H2O-NH3', 'a(CPT)-H2O-NH3', 'b(CGI)-H2O-NH3', 'b(CGL)-H2O-NH3', 'a(GM[Oxidation]P)-H2O-NH3', 'a(ADN)-H2O-NH3+i', 'b(ANS)-H2O-NH3+i', 'a(DGQ)-H2O-NH3+i', 'a(EGN)-H2O-NH3+i', 'b(GNT)-H2O-NH3+i', 'b(GQS)-H2O-NH3+i']
239.09487	57.6	29/85	6.1%	239.09611	5.19	a(HM[Oxidation])-H2O	[]
239.10258	19.4	18/85	0.8%	239.10263	0.21	y(GY)	['a(ADP)-NH3', 'a(AET)-H2O-NH3', 'b(APS)-NH3', 'b(ATT)-H2O-NH3', 'y(APS)-H2O-NH3', 'a(DSV)-H2O-NH3', 'a(EGP)-NH3', 'b(GPT)-NH3', 'y(GPT)-H2O-NH3', 'b(SSV)-H2O-NH3']
239.10713	155.1	1/85	0.6%	?	?	?	?
239.11384	189.4	79/85	6.5%	239.11387	0.13	a(EH)	['b(HT)', 'y(HT)-H2O', 'b(QQ)-H2O', 'b(AAN)-H2O', 'b(AGQ)-H2O']
239.12771	72.8	6/85	1.7%	?	?	?	?
239.13898	12.3	9/85	0.6%	239.13902	0.17	a(EL[Acetyl])-H2O	['a(L[Acetyl]Q)-NH3', 'b(L[Acetyl]T)-H2O', 'a(AGL[Acetyl])-NH3', 'b(AAI)-NH3', 'b(AAL)-NH3', 'y(AAI)-H2O-NH3', 'y(AAL)-H2O-NH3', 'b(GVV)-NH3', 'y(GVV)-H2O-NH3', 'a(IST)-H2O-NH3', 'a(LST)-H2O-NH3', 'a(PSV)-NH3', 'a(TTV)-H2O-NH3']
239.14979	66.4	27/85	5.0%	239.15025	1.92	b(KQ)-H2O	['b(RV)-NH3', 'y(RV)-H2O-NH3', 'a(ANV)-H2O', 'b(AGK)-H2O', 'a(GIN)-H2O', 'a(GLN)-H2O', 'a(GQV)-H2O']
239.15016	78.5	38/85	3.5%	239.15025	0.38	b(KQ)-H2O	['b(RV)-NH3', 'y(RV)-H2O-NH3', 'a(ANV)-H2O', 'b(AGK)-H2O', 'a(GIN)-H2O', 'a(GLN)-H2O', 'a(GQV)-H2O']
239.17538	24.7	31/85	1.6%	239.1754	0.08	a(KL[Acetyl])-NH3	['a(AIV)-NH3', 'a(ALV)-NH3', 'a(GII)-NH3', 'a(GIL)-NH3', 'a(GLL)-NH3']
239.17926	19.0	2/85	0.6%	?	?	?	?
239.23689	37.8	8/85	1.0%	?	?	?	?
239.64784	18.1	3/85	0.5%	?	?	?	?
239.97151	105.8	6/85	2.1%	?	?	?	?
239.99852	21.7	1/85	0.4%	?	?	?	?
240.00778	68.7	4/85	3.5%	?	?	?	?
240.02675	7.9	2/85	0.5%	?	?	?	?
240.04415	95.0	6/85	3.4%	240.04374	-1.71	b(C[Carbamidomethyl]N)-H2O-NH3	['b(CGN)-H2O-NH3', 'b(C[Carbamidomethyl]GG)-H2O-NH3']
240.08074	48.9	5/85	1.9%	240.08012	-2.58	b(C[Carbamidomethyl]P)-H2O	['a(HM[Oxidation])-NH3', 'a(AAC[Carbamidomethyl])-H2O-NH3', 'a(ACQ)-H2O-NH3', 'b(CGP)-H2O', 'a(GMN)-H2O-NH3']
240.09565	257.5	6/85	8.5%	?	?	?	?
240.09776	168.6	74/85	6.5%	240.09788	0.5	b(EQ)-H2O	['y(HT)-NH3', 'b(QQ)-NH3', 'y(QQ)-H2O-NH3', 'b(AAD)-H2O', 'b(AAN)-NH3', 'b(AEG)-H2O', 'b(AGQ)-NH3', 'y(AAN)-H2O-NH3', 'y(AGQ)-H2O-NH3', 'a(NST)-H2O-NH3', 'a(QSS)-H2O-NH3']
240.11178	58.6	1/85	1.2%	?	?	?	?
240.11717	17.4	3/85	0.7%	240.11722	0.21	a(EH)+i	['b(HT)+i', 'y(HT)-H2O+i', 'b(QQ)-H2O+i', 'b(AAN)-H2O+i', 'b(AGQ)-H2O+i', 'a(ACK)-H2O-NH3', 'a(GMP)-H2O']
240.11933	22.7	1/85	0.2%	?	?	?	?
240.12365	27.2	1/85	1.8%	240.12303	-2.58	a(EL[Acetyl])-NH3	['b(L[Acetyl]T)-NH3', 'y(L[Acetyl]T)-H2O-NH3', 'a(KM[Acetyl])-H2O-NH3+i', 'a(AMV)-H2O-NH3+i', 'a(CVV)-H2O-NH3+i', 'a(GIM)-H2O-NH3+i', 'a(GLM)-H2O-NH3+i']
240.13421	358.2	85/85	15.4%	240.13427	0.25	b(AAP)	['b(EK)-H2O', 'b(KQ)-NH3', 'y(KQ)-H2O-NH3', 'a(ADV)-H2O', 'a(ANV)-NH3', 'b(AGK)-NH3', 'b(ASV)-H2O', 'y(AAP)-H2O', 'y(AGK)-H2O-NH3', 'a(DGI)-H2O', 'a(DGL)-H2O', 'a(EGV)-H2O', 'a(GIN)-NH3', 'a(GLN)-NH3', 'a(GQV)-NH3', 'b(GIS)-H2O', 'b(GLS)-H2O', 'b(GTV)-H2O', 'a(KSS)-H2O-NH3', 'a(PST)-H2O']
240.13966	23.4	3/85	0.6%	?	?	?	?
240.14558	62.2	10/85	1.4%	240.1455	-0.33	a(ER)-H2O	['a(QR)-NH3', 'b(RT)-H2O', 'a(AGR)-NH3']
240.15227	22.5	5/85	0.9%	?	?	?	?
240.15338	14.2	1/85	1.1%	240.1536	0.92	b(KQ)-H2O+i	['b(RV)-NH3+i', 'y(RV)-H2O-NH3+i', 'a(ANV)-H2O+i', 'b(AGK)-H2O+i', 'a(GIN)-H2O+i', 'a(GLN)-H2O+i', 'a(GQV)-H2O+i']
240.15803	46.6	6/85	1.2%	?	?	?	?
240.17066	17.5	24/85	1.5%	240.17065	-0.04	a(APV)	['a(GIP)', 'a(GLP)', 'b(KK)-NH3', 'y(KK)-H2O-NH3', 'a(AIT)-H2O', 'a(ALT)-H2O', 'a(GKV)-NH3', 'a(SVV)-H2O']
240.23199	41.8	4/85	0.7%	?	?	?	?
240.60755	19.5	1/85	0.3%	?	?	?	?
240.63188	25.5	2/85	0.5%	?	?	?	?
240.83913	43.0	1/85	0.7%	?	?	?	?
240.90935	51.1	2/85	1.8%	?	?	?	?
240.92446	42.2	1/85	0.5%	?	?	?	?
240.97386	31.9	1/85	0.5%	?	?	?	?
241.00182	54.5	2/85	1.3%	?	?	?	?
241.0156	34.7	4/85	2.0%	?	?	?	?
241.03113	36.7	6/85	0.7%	?	?	?	?
241.08173	139.3	64/85	5.0%	241.0819	0.71	b(EE)-H2O	['b(EQ)-NH3', 'y(EQ)-H2O-NH3', 'b(AAD)-NH3', 'b(AEG)-NH3', 'y(AAD)-H2O-NH3', 'y(AEG)-H2O-NH3', 'a(DST)-H2O-NH3', 'a(ESS)-H2O-NH3', 'b(SST)-H2O-NH3']
241.09207	156.3	9/85	3.5%	241.09134	-3.03	b(HH)-H2O-NH3+i	['a(DGN)-H2O', 'a(GNN)-NH3', 'b(GNS)-H2O']
241.09711	15.7	11/85	0.6%	241.09715	0.17	b(AW)-NH3	['y(AW)-H2O-NH3', 'b(FQ)-H2O-NH3', 'b(AFG)-H2O-NH3']
241.10075	13.1	2/85	1.1%	241.10053	-0.91	b(CL[Acetyl])-H2O	['b(KM[Oxidation])-H2O-NH3', 'a(AMT)-H2O-NH3', 'a(CIS)-H2O-NH3', 'a(CLS)-H2O-NH3', 'a(CTV)-H2O-NH3', 'a(GMP)-NH3', 'a(GM[Oxidation]V)-H2O-NH3', 'b(EQ)-H2O+i', 'y(HT)-NH3+i', 'b(QQ)-NH3+i', 'y(QQ)-H2O-NH3+i', 'b(AAD)-H2O+i', 'b(AAN)-NH3+i', 'b(AEG)-H2O+i', 'b(AGQ)-NH3+i', 'y(AAN)-H2O-NH3+i', 'y(AGQ)-H2O-NH3+i', 'a(NST)-H2O-NH3+i', 'a(QSS)-H2O-NH3+i']
241.10832	50.0	16/85	2.2%	241.10863	1.29	a(L[Acetyl]M[Oxidation])-H2O-NH3+i	[]
241.11169	14.3	8/85	0.5%	241.11176	0.29	a(HM)	['a(M[Oxidation]R)-H2O-NH3', 'a(GNN)-H2O+i']
241.11601	24.8	1/85	0.4%	241.11649	1.99	b(AW)-H2O+i	['a(FH)-NH3+i']
241.11872	27.8	14/85	2.0%	241.11828	-1.82	b(EK)-NH3	['y(EK)-H2O-NH3', 'a(ADV)-NH3', 'b(ASV)-NH3', 'y(AAP)-NH3', 'y(ASV)-H2O-NH3', 'a(DGI)-NH3', 'a(DGL)-NH3', 'a(EGV)-NH3', 'b(GIS)-NH3', 'b(GLS)-NH3', 'b(GTV)-NH3', 'y(GIS)-H2O-NH3', 'y(GLS)-H2O-NH3', 'y(GTV)-H2O-NH3', 'a(PST)-NH3', 'a(TTT)-H2O-NH3']
241.12953	27.8	16/85	1.8%	241.12952	-0.04	a(GNP)	['a(ER)-NH3', 'b(RT)-NH3', 'y(RT)-H2O-NH3', 'a(ANT)-H2O', 'a(AQS)-H2O', 'a(GQT)-H2O']
241.13354	8.3	4/85	0.5%	241.13354	0.0	b(FK)-H2O-NH3	['a(VW)-NH3', 'a(FGV)-H2O-NH3']
241.1364	6.4	3/85	0.6%	241.13691	2.11	a(IM[Acetyl])-H2O	['a(LM[Acetyl])-H2O', 'a(L[Acetyl]M)-H2O']
241.13738	10.4	13/85	1.4%	241.13762	1.0	b(AAP)+i	['b(EK)-H2O+i', 'b(KQ)-NH3+i', 'y(KQ)-H2O-NH3+i', 'a(ADV)-H2O+i', 'a(ANV)-NH3+i', 'b(AGK)-NH3+i', 'b(ASV)-H2O+i', 'y(AAP)-H2O+i', 'y(AGK)-H2O-NH3+i', 'a(DGI)-H2O+i', 'a(DGL)-H2O+i', 'a(EGV)-H2O+i', 'a(GIN)-NH3+i', 'a(GLN)-NH3+i', 'a(GQV)-NH3+i', 'b(GIS)-H2O+i', 'b(GLS)-H2O+i', 'b(GTV)-H2O+i', 'a(KSS)-H2O-NH3+i', 'a(PST)-H2O+i', 'a(IM[Acetyl])-H2O', 'a(LM[Acetyl])-H2O', 'a(L[Acetyl]M)-H2O']
241.14336	34.7	6/85	0.9%	?	?	?	?
241.14773	40.0	6/85	0.9%	241.14885	4.64	a(ER)-H2O+i	['a(QR)-NH3+i', 'b(RT)-H2O+i', 'a(AGR)-NH3+i']
241.15357	39.4	6/85	1.8%	241.15287	-2.9	a(VW)-H2O+i	[]
241.15467	10.0	5/85	0.6%	241.15467	0.0	a(AIT)-NH3	['a(ALT)-NH3', 'a(SVV)-NH3']
241.16595	29.7	3/85	0.8%	241.1659	-0.21	a(AKS)-H2O	['a(GKT)-H2O']
241.17839	21.8	3/85	0.6%	?	?	?	?
241.17979	30.3	3/85	0.4%	?	?	?	?
241.19112	29.0	3/85	1.0%	241.19105	-0.29	a(IL[Acetyl])	['a(LL[Acetyl])']
241.19495	33.3	3/85	0.7%	?	?	?	?
241.25269	51.8	1/85	0.3%	?	?	?	?
241.61827	24.4	6/85	0.5%	?	?	?	?
241.62041	8.5	1/85	0.6%	?	?	?	?
241.64533	8.1	7/85	0.4%	?	?	?	?
241.65786	18.1	1/85	0.4%	?	?	?	?
241.88085	53.4	1/85	1.7%	?	?	?	?
241.98739	20.7	3/85	1.0%	?	?	?	?
242.02347	79.3	5/85	3.7%	?	?	?	?
242.04239	20.9	11/85	0.6%	?	?	?	?
242.07709	17.0	25/85	0.8%	242.07715	0.25	a(DDG)-H2O	['a(DGN)-NH3', 'b(DGS)-H2O', 'b(GNS)-NH3', 'y(GNS)-H2O-NH3']
242.09575	9.9	11/85	0.5%	242.09577	0.08	b(C[Carbamidomethyl]V)-H2O	['b(MQ)-H2O', 'a(M[Acetyl]N)-H2O', 'b(AGM)-H2O', 'a(CPS)-H2O', 'b(CGV)-H2O', 'a(GGM[Acetyl])-H2O', 'a(DGN)-H2O+i', 'a(GNN)-NH3+i', 'b(GNS)-H2O+i']
242.11348	70.8	66/85	3.2%	242.11353	0.21	a(DGP)	['b(GPS)', 'a(ADT)-H2O', 'a(AES)-H2O', 'a(ANT)-NH3', 'a(AQS)-NH3', 'b(AST)-H2O', 'a(EGT)-H2O', 'a(GQT)-NH3', 'b(GTT)-H2O', 'y(GPS)-H2O']
242.12874	12.1	7/85	0.5%	242.12879	0.21	a(TW)-H2O	[]
242.13729	37.9	6/85	1.1%	242.13689	-1.65	b(FK)-H2O-NH3+i	['a(VW)-NH3+i', 'a(FGV)-H2O-NH3+i']
242.13876	34.7	1/85	0.8%	?	?	?	?
242.14986	318.8	85/85	13.5%	242.14992	0.25	b(IQ)	['b(LQ)', 'a(L[Acetyl]N)', 'a(APT)', 'b(AAV)', 'b(AGI)', 'b(AGL)', 'a(GGL[Acetyl])', 'y(IQ)-H2O', 'y(LQ)-H2O', 'a(AKS)-NH3', 'y(AAV)-H2O', 'y(AGI)-H2O', 'y(AGL)-H2O', 'a(GKT)-NH3', 'a(ISS)-H2O', 'a(LSS)-H2O', 'a(STV)-H2O']
242.1555	21.1	1/85	0.5%	?	?	?	?
242.1612	28.8	3/85	0.8%	?	?	?	?
242.18621	149.8	79/85	7.2%	242.1863	0.37	b(IK)	['b(KL)', 'a(AVV)', 'a(GIV)', 'a(GLV)', 'y(IK)-H2O', 'y(KL)-H2O']
242.19763	169.8	6/85	3.9%	242.19754	-0.37	a(IR)	['a(LR)']
242.21145	27.2	1/85	0.3%	?	?	?	?
242.65888	16.4	2/85	0.6%	?	?	?	?
242.83461	22.7	1/85	0.5%	?	?	?	?
