mz	intensity	ms runs	percentage	theoretical m/z	delta PPM	primary identification	other identifications
298.04972	41.8	5/85	2.4%	298.04922	-1.68	b(CDN)-H2O-NH3	['b(C[Carbamidomethyl]DG)-H2O-NH3']
298.08324	27.2	4/85	1.1%	?	?	?	?
298.09688	34.9	29/85	1.6%	298.09684	-0.13	b(C[Carbamidomethyl]H)	['b(CGH)', 'y(C[Carbamidomethyl]H)-H2O', 'y(CGH)-H2O', 'y(MM[Oxidation])+i']
298.10103	35.3	1/85	1.4%	298.10086	-0.57	a(ACW)-H2O-NH3	[]
298.10334	18.2	23/85	1.4%	298.10336	0.07	b(ADE)-H2O	['b(ADQ)-NH3', 'b(AEN)-NH3', 'y(ADQ)-H2O-NH3', 'y(AEN)-H2O-NH3', 'b(EEG)-H2O', 'b(EGQ)-NH3', 'y(EGQ)-H2O-NH3']
298.11012	17.2	2/85	0.6%	298.10896	-3.89	a(M[Acetyl]W)-H2O-NH3+i	['y(DY)+i', 'a(DEP)-NH3+i', 'b(DPT)-NH3+i', 'y(DPT)-H2O-NH3+i', 'a(EET)-H2O-NH3+i', 'b(EPS)-NH3+i', 'b(ETT)-H2O-NH3+i', 'y(EPS)-H2O-NH3+i']
298.11856	19.2	43/85	1.7%	298.11862	0.2	b(EW)-H2O	['b(QW)-NH3', 'y(QW)-H2O-NH3', 'b(AFN)-H2O-NH3', 'b(AGW)-NH3', 'y(AGW)-H2O-NH3', 'b(FGQ)-H2O-NH3', 'a(SSW)-H2O-NH3']
298.12212	37.1	5/85	1.1%	298.12199	-0.44	b(CPP)	['b(C[Carbamidomethyl]L[Acetyl])-H2O', 'b(AAM[Acetyl])-H2O', 'b(AM[Oxidation]P)-H2O', 'a(CEK)-H2O-NH3', 'b(CGL[Acetyl])-H2O', 'b(CKT)-H2O-NH3', 'y(CPP)-H2O', 'a(C[Carbamidomethyl]IS)-H2O-NH3', 'a(C[Carbamidomethyl]LS)-H2O-NH3', 'a(C[Carbamidomethyl]TV)-H2O-NH3', 'a(DMP)-H2O', 'b(GKM[Oxidation])-H2O-NH3', 'a(MNP)-NH3', 'a(MQT)-H2O-NH3', 'b(MPS)-H2O', 'a(M[Oxidation]NV)-H2O-NH3', 'b(ADQ)-H2O+i', 'b(AEN)-H2O+i', 'b(ANQ)-NH3+i', 'y(AHS)-NH3+i', 'y(ANQ)-H2O-NH3+i', 'b(EGQ)-H2O+i', 'b(GQQ)-NH3+i', 'y(GHT)-NH3+i', 'y(GQQ)-H2O-NH3+i']
298.11862	25.4	1/85	0.8%	?	?	?	?
298.13979	82.3	73/85	4.6%	298.13975	-0.13	b(AEP)	['b(ADK)-NH3', 'y(ADK)-H2O-NH3', 'y(AEP)-H2O', 'y(APQ)-NH3', 'a(DDI)-H2O', 'a(DDL)-H2O', 'a(DEV)-H2O', 'a(DIN)-NH3', 'a(DLN)-NH3', 'a(DQV)-NH3', 'b(DIS)-H2O', 'b(DLS)-H2O', 'b(DTV)-H2O', 'a(ENV)-NH3', 'b(EGK)-NH3', 'b(ESV)-H2O', 'y(EGK)-H2O-NH3', 'b(INS)-NH3', 'y(INS)-H2O-NH3', 'b(LNS)-NH3', 'y(LNS)-H2O-NH3', 'b(NTV)-NH3', 'y(NTV)-H2O-NH3', 'b(QSV)-NH3', 'y(QSV)-H2O-NH3', 'a(AC[Carbamidomethyl]K)-H2O-NH3+i', 'a(CKQ)-H2O-NH3+i', 'a(MNP)-H2O+i']
