mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
301.15603	0.4	6/100	1.0%	301.15467	-4.52	y{IW}-NH3	y{LW}-NH3, b{AFV}-NH3, a{FPT}-NH3, b{FGI}-NH3, b{FGL}-NH3, y{AFV}-H2O-NH3, y{FGI}-H2O-NH3, y{FGL}-H2O-NH3, a{ISY}-H2O-NH3, a{LSY}-H2O-NH3, a{TVY}-H2O-NH3, b{L[Acetyl]Y}-H2O	
301.15792	0.6	6/100	1.0%	301.15804	0.4	a{IMT}-NH3	a{LMT}-NH3, a{L[Acetyl]M[Acetyl]}, a{M[Oxidation]VV}-NH3, b{ADI}+i, b{ADL}+i, b{AEV}+i, a{EPT}+i, b{EGI}+i, b{EGL}+i, b{PTT}+i, y{PPS}+i, y{ADI}-H2O+i, y{ADL}-H2O+i, y{AEV}-H2O+i, y{AIN}-NH3+i, y{ALN}-NH3+i, y{AQV}-NH3+i, a{DKT}-NH3+i, a{EKS}-NH3+i, y{EGI}-H2O+i, y{EGL}-H2O+i, y{GIQ}-NH3+i, y{GLQ}-NH3+i, b{KST}-NH3+i, y{PTT}-H2O+i, a{DGL[Acetyl]}+i, b{GL[Acetyl]S}+i, y{KST}-H2O-NH3+i, y{GL[Acetyl]S}-H2O+i	
301.16223	0.3	7/100	1.1%	301.16188	-1.16	a{DGR}	b{GRS}, y{GRS}-H2O	
301.18215	0.4	5/100	0.6%	301.18121	-3.12	a{GNR}+i		
301.187	12.5	87/100	3.5%	301.18703	0.1	a{AEK}	b{AKT}, y{GKP}, a{INT}, a{IQS}, a{LNT}, a{LQS}, a{QTV}, y{AKT}-H2O	
301.19511	0.6	10/100	1.1%	301.19513	0.07	y{AIP}+i	y{ALP}+i, a{DIV}+i, a{DLV}+i, a{EVV}+i, b{ISV}+i, b{LSV}+i, b{TVV}+i, y{AKV}-NH3+i, y{GIK}-NH3+i, y{GKL}-NH3+i, y{ISV}-H2O+i, y{LSV}-H2O+i, y{TVV}-H2O+i, a{AL[Acetyl]T}+i	
301.21622	1.8	10/100	1.1%	?	?	?	?	
301.22787	1.1	3/100	1.4%	?	?	?	?	
301.2737	1.3	5/100	0.7%	?	?	?	?	
301.67414	0.9	9/100	0.8%	?	?	?	?	
301.6797	0.4	5/100	0.6%	?	?	?	?	
301.69705	11.4	6/100	13.4%	?	?	?	?	
301.72385	11.8	6/100	13.7%	?	?	?	?	
301.83684	12.8	6/100	12.2%	?	?	?	?	
301.86383	13.7	6/100	13.3%	?	?	?	?	
302.0424	12.2	12/100	2.4%	?	?	?	?	
302.04469	0.8	8/100	1.0%	?	?	?	?	
302.05984	5.8	14/100	4.7%	?	?	?	?	
302.07728	1.0	3/100	0.8%	?	?	?	?	
302.08452	1.7	4/100	0.8%	302.08454	0.07	b{M[Acetyl]Y}-H2O-NH3	b{DGY}-H2O-NH3+i	
302.09827	2.9	35/100	2.2%	302.09828	0.03	b{ADD}	b{DEG}, y{ADD}-H2O, y{ADN}-NH3, y{DEG}-H2O, y{DGQ}-NH3, y{EGN}-NH3, b{CCI}-H2O, b{CCL}-H2O, b{GMM}-H2O, a{ACM[Acetyl]}-H2O, a{CM[Oxidation]P}-H2O	
302.11354	3.0	44/100	1.4%	302.11353	-0.03	b{DW}	y{DW}-H2O, y{HY}-NH3, y{NW}-NH3, b{DFG}-H2O, b{FGN}-NH3, y{GGW}-NH3, y{FGN}-H2O-NH3, a{NSY}-H2O-NH3, a{CGW}-H2O+i, a{C[Carbamidomethyl]W}-H2O+i	
302.11696	0.8	11/100	1.2%	302.1169	-0.2	a{CEP}	b{CPT}, a{CDK}-NH3, b{CKS}-NH3, y{CPT}-H2O, a{DMT}-H2O, a{EMS}-H2O, a{MNT}-NH3, a{MQS}-NH3, b{MST}-H2O, b{M[Acetyl]Q}, b{AGM[Acetyl]}, y{CKS}-H2O-NH3, b{GM[Oxidation]P}, y{M[Acetyl]Q}-H2O, y{AGM[Acetyl]}-H2O, a{M[Acetyl]SS}-H2O, a{AEM[Oxidation]}-H2O, a{AM[Oxidation]Q}-NH3, b{AM[Oxidation]T}-H2O, y{GM[Oxidation]P}-H2O, a{C[Carbamidomethyl]SV}-NH3, b{ADN}+i, b{DGQ}+i, b{EGN}+i, y{ADN}-H2O+i, y{ANN}-NH3+i, y{DGQ}-H2O+i, y{EGN}-H2O+i, y{GNQ}-NH3+i	
302.13447	2.4	36/100	3.0%	302.13466	0.63	a{AEE}	b{AET}, y{ADP}, a{DDV}, b{DSV}, y{EGP}, y{AET}-H2O, y{AQT}-NH3, y{DGK}-NH3, y{DSV}-H2O, y{NSV}-NH3, a{CIM}-H2O, a{CLM}-H2O	
302.13475	1.5	10/100	1.8%	302.13466	-0.3	a{AEE}	b{AET}, y{ADP}, a{DDV}, b{DSV}, y{EGP}, y{AET}-H2O, y{AQT}-NH3, y{DGK}-NH3, y{DSV}-H2O, y{NSV}-NH3, a{CIM}-H2O, a{CLM}-H2O, a{CPQ}+i, a{CDK}-H2O+i, a{CKN}-NH3+i, b{CKS}-H2O+i, a{MNT}-H2O+i, a{MQS}-H2O+i, a{AM[Oxidation]Q}-H2O+i, a{AC[Carbamidomethyl]P}+i, a{C[Carbamidomethyl]GK}-NH3+i, a{C[Carbamidomethyl]SV}-H2O+i	
302.15003	1.0	41/100	2.4%	302.14992	-0.36	y{PW}	b{FGP}, a{AEF}-H2O, a{AFQ}-NH3, b{AFT}-H2O, y{FGP}-H2O, b{GVY}-H2O, a{PSY}-H2O	
302.15324	1.1	8/100	1.2%	302.15329	0.17	b{AMV}	b{CVV}, b{GIM}, b{GLM}, a{MPT}, y{AMV}-H2O, y{CVV}-H2O, y{GIM}-H2O, y{GLM}-H2O, a{KMS}-NH3, b{KM[Acetyl]}, a{ACL[Acetyl]}, a{GM[Acetyl]V}, y{KM[Acetyl]}-H2O, a{AKM[Oxidation]}-NH3, a{IM[Oxidation]S}-H2O, a{LM[Oxidation]S}-H2O, a{M[Oxidation]TV}-H2O, a{AEQ}+i, b{AQT}+i, y{ANP}+i, a{DNV}+i, b{DGK}+i, y{GPQ}+i, b{NSV}+i, y{AQT}-H2O+i, y{DGK}-H2O+i, y{GKN}-NH3+i, y{NSV}-H2O+i	
302.17115	1.4	29/100	2.0%	302.17105	-0.33	a{DIT}	a{DLT}, a{EIS}, a{ELS}, a{ETV}, b{IST}, b{LST}, y{PSV}, b{TTV}, y{AKT}-NH3, y{IST}-H2O, y{LST}-H2O, y{TTV}-H2O, y{L[Acetyl]Q}, y{AGL[Acetyl]}, a{L[Acetyl]SS}, a{AHR}-H2O-NH3, a{CKP}+i, a{KMS}-H2O+i, a{AKM[Oxidation]}-H2O+i	
302.19022	1.5	21/100	1.4%	302.19038	0.53	a{AEK}+i	b{AKT}+i, y{GKP}+i, a{INT}+i, a{IQS}+i, a{LNT}+i, a{LQS}+i, a{QTV}+i, y{AKT}-H2O+i, a{CII}, a{CIL}, a{CLL}, a{MVV}	
302.19629	2.2	5/100	2.0%	302.19754	4.14	a{HIP}-H2O	a{HLP}-H2O, a{HKV}-H2O-NH3	
302.20762	1.1	11/100	1.2%	302.20743	-0.63	y{AIV}	y{ALV}, y{GII}, y{GIL}, y{GLL}, y{KL[Acetyl]}	
302.33755	8.0	47/100	7.2%	?	?	?	?	
302.36112	18.6	3/100	4.8%	?	?	?	?	
302.38525	7.9	31/100	7.2%	?	?	?	?	
302.38572	9.1	16/100	7.2%	?	?	?	?	
302.66387	0.4	10/100	0.6%	?	?	?	?	
302.66938	0.5	9/100	0.9%	?	?	?	?	
302.68205	0.7	11/100	0.7%	?	?	?	?	
302.6876	0.5	10/100	0.9%	?	?	?	?	
302.81983	0.5	4/100	0.8%	?	?	?	?	
302.85529	0.4	6/100	1.2%	?	?	?	?	
302.88917	38.9	9/100	6.7%	?	?	?	?	
302.92491	0.5	4/100	1.0%	?	?	?	?	
302.93712	41.2	8/100	6.7%	?	?	?	?	
303.02022	9.6	12/100	5.7%	?	?	?	?	
303.04577	1.2	3/100	0.6%	303.04678	3.33	a{CDM[Oxidation]}-H2O-NH3	b{CM[Oxidation]S}-H2O-NH3	
303.05685	1.5	13/100	2.8%	303.05801	3.83	b{CCN}-H2O	b{CC[Carbamidomethyl]G}-H2O, b{C[Carbamidomethyl]C[Carbamidomethyl]}-H2O	
303.10099	0.9	13/100	0.8%	303.10092	-0.23	y{CPT}-NH3	a{DMT}-NH3, a{EMS}-NH3, b{MST}-NH3, b{EM[Acetyl]}, y{MST}-H2O-NH3, y{EM[Acetyl]}-H2O, y{M[Acetyl]Q}-NH3, y{AGM[Acetyl]}-NH3, a{M[Acetyl]SS}-NH3, a{AEM[Oxidation]}-NH3, b{AM[Oxidation]T}-NH3, y{GM[Oxidation]P}-NH3, y{AM[Oxidation]T}-H2O-NH3, b{ADD}+i, b{DEG}+i, y{ADD}-H2O+i, y{ADN}-NH3+i, y{DEG}-H2O+i, y{DGQ}-NH3+i, y{EGN}-NH3+i, b{CCI}-H2O+i, b{CCL}-H2O+i, b{GMM}-H2O+i, a{ACM[Acetyl]}-H2O+i, a{CM[Oxidation]P}-H2O+i	
303.11215	3.3	36/100	1.5%	303.11215	0.0	b{ACQ}	b{GMN}, y{ACQ}-H2O, y{GMN}-H2O, y{HM[Oxidation]}, a{M[Oxidation]NS}-H2O, b{AAC[Carbamidomethyl]}, y{AAC[Carbamidomethyl]}-H2O, a{C[Carbamidomethyl]ST}-H2O	
303.12992	0.5	17/100	0.7%	303.12991	-0.03	a{DNT}	a{DQS}, a{ENS}, b{NST}, b{QSS}, y{NST}-H2O, y{QSS}-H2O	
303.1373	14.4	3/100	1.9%	303.1373	0.0	y{AMV}-NH3	y{CVV}-NH3, y{GIM}-NH3, y{GLM}-NH3, y{KM[Acetyl]}-NH3, a{IM[Oxidation]S}-NH3, a{LM[Oxidation]S}-NH3, a{M[Oxidation]TV}-NH3, b{L[Acetyl]M[Oxidation]}, y{L[Acetyl]M[Oxidation]}-H2O, a{AEE}+i, b{AET}+i, y{ADP}+i, a{DDV}+i, b{DSV}+i, y{EGP}+i, y{AET}-H2O+i, y{AQT}-NH3+i, y{DGK}-NH3+i, y{DSV}-H2O+i, y{NSV}-NH3+i	
303.14517	1.5	28/100	1.4%	303.14517	0.0	y{FH}	a{GSW}, b{RY}-NH3, a{ANY}-H2O, a{FNS}-H2O, a{GQY}-H2O, y{RY}-H2O-NH3, a{DHI}-H2O-NH3, a{DHL}-H2O-NH3, a{EHV}-H2O-NH3, b{HIS}-H2O-NH3, b{HLS}-H2O-NH3, b{HTV}-H2O-NH3	
303.1533	1.9	6/100	0.7%	303.15327	-0.1	y{PW}+i	b{FGP}+i, a{AEF}-H2O+i, a{AFQ}-NH3+i, b{AFT}-H2O+i, y{FGP}-H2O+i, b{GVY}-H2O+i, a{PSY}-H2O+i	
303.16129	0.5	8/100	1.2%	?	?	?	?	
303.16643	0.5	9/100	1.1%	303.1663	-0.43	y{ANV}	a{DKS}, y{GIN}, y{GLN}, y{GQV}, b{KSS}, a{QTT}, y{KSS}-H2O, a{M[Acetyl]R}+i	
303.17043	0.9	14/100	1.2%	303.17032	-0.36	a{AIY}-NH3	a{ALY}-NH3, a{FIS}-NH3, a{FLS}-NH3, a{FTV}-NH3, b{FL[Acetyl]}, y{FL[Acetyl]}-H2O	
303.17423	0.5	7/100	1.0%	303.1744	0.56	a{DIT}+i	a{DLT}+i, a{EIS}+i, a{ELS}+i, a{ETV}+i, b{IST}+i, b{LST}+i, y{PSV}+i, b{TTV}+i, y{AKT}-NH3+i, y{IST}-H2O+i, y{LST}-H2O+i, y{TTV}-H2O+i, y{L[Acetyl]Q}+i, y{AGL[Acetyl]}+i, a{L[Acetyl]SS}+i	
303.17748	5.6	61/100	3.1%	303.17753	0.16	y{QR}	y{AGR}, a{RSS}	
303.17922	0.3	3/100	1.2%	?	?	?	?	
303.20277	2.9	33/100	1.3%	303.20268	-0.3	y{GKV}	a{KTT}	
303.21388	6.0	50/100	2.4%	303.21392	0.13	y{KR}		
303.3965	1.9	11/100	5.0%	?	?	?	?	
303.41763	0.6	4/100	1.0%	?	?	?	?	
303.43988	2.0	5/100	4.9%	?	?	?	?	
303.67165	0.9	12/100	0.9%	?	?	?	?	
303.67717	1.0	11/100	0.8%	?	?	?	?	
303.68984	0.5	10/100	0.6%	?	?	?	?	
303.69536	0.5	7/100	0.6%	?	?	?	?	
303.95289	2.8	3/100	1.6%	?	?	?	?	
304.02054	3.6	12/100	3.5%	?	?	?	?	
304.04201	5.9	10/100	2.0%	304.04202	0.03	b{CCD}-H2O	b{CCN}-NH3, y{CCN}-H2O-NH3, b{CC[Carbamidomethyl]G}-NH3, y{CC[Carbamidomethyl]G}-H2O-NH3, b{C[Carbamidomethyl]C[Carbamidomethyl]}-NH3, y{C[Carbamidomethyl]C[Carbamidomethyl]}-H2O-NH3	
304.07583	0.6	6/100	1.2%	?	?	?	?	
304.09615	0.4	9/100	0.7%	304.09617	0.07	b{ACE}	b{DGM}, y{ACE}-H2O, y{ACQ}-NH3, y{DGM}-H2O, y{GMN}-NH3, a{DM[Oxidation]S}-H2O, a{M[Oxidation]NS}-NH3, b{M[Oxidation]SS}-H2O, y{AAC[Carbamidomethyl]}-NH3, a{C[Carbamidomethyl]ST}-NH3	
304.1139	1.1	14/100	0.7%	304.11393	0.1	a{DDT}	a{DES}, b{DST}, b{ESS}, y{DST}-H2O, y{ESS}-H2O, y{NST}-NH3, y{QSS}-NH3, a{CMP}, a{MMS}-H2O, a{AMM[Oxidation]}-H2O, a{CM[Oxidation]V}-H2O	
304.12922	1.1	43/100	1.5%	304.12918	-0.13	a{ADY}-H2O	a{ANY}-NH3, b{ASY}-H2O, a{DFS}-H2O, a{EGY}-H2O, a{FNS}-NH3, b{FSS}-H2O, a{GQY}-NH3, b{GTY}-H2O	
304.13256	0.5	9/100	0.7%	304.13255	-0.03	a{AEM}	b{AMT}, a{CDI}, a{CDL}, a{CEV}, b{CIS}, b{CLS}, b{CTV}, y{GMP}, y{ACK}-NH3, y{AMT}-H2O, y{CIS}-H2O, y{CLS}-H2O, y{CTV}-H2O, a{AM[Acetyl]S}, a{GM[Acetyl]T}, b{GM[Oxidation]V}, a{M[Oxidation]PS}, y{GM[Oxidation]V}-H2O, a{M[Oxidation]TT}-H2O, a{DNT}+i, a{DQS}+i, a{ENS}+i, b{NST}+i, b{QSS}+i, y{NST}-H2O+i, y{QSS}-H2O+i	
304.14047	0.9	19/100	1.0%	304.14042	-0.16	a{DHP}-H2O	a{HNP}-NH3, b{HPS}-H2O, a{HQT}-H2O-NH3, y{AMV}-NH3+i, y{CVV}-NH3+i, y{GIM}-NH3+i, y{GLM}-NH3+i, y{KM[Acetyl]}-NH3+i, a{IM[Oxidation]S}-NH3+i, a{LM[Oxidation]S}-NH3+i, a{M[Oxidation]TV}-NH3+i, b{L[Acetyl]M[Oxidation]}+i, y{L[Acetyl]M[Oxidation]}-H2O+i	
304.14377	0.7	7/100	0.9%	304.14379	0.07	b{M[Oxidation]R}	y{M[Oxidation]R}-H2O, a{WY}-H2O	
304.16157	6.9	51/100	4.5%	304.16155	-0.07	y{ER}		
304.16346	0.3	5/100	1.0%	304.16312	-1.12	a{ACR}+i	y{ER}	
304.16922	1.7	12/100	1.8%	304.16965	1.41	y{ANV}+i	a{DKS}+i, y{GIN}+i, y{GLN}+i, y{GQV}+i, b{KSS}+i, a{QTT}+i, y{KSS}-H2O+i, a{IMS}, a{LMS}, a{MTV}, a{AIM[Oxidation]}, a{ALM[Oxidation]}	
304.1771	0.9	26/100	1.4%	304.1768	-0.99	b{FR}	a{HPP}, y{FR}-H2O, b{AHI}-H2O, b{AHL}-H2O, a{HKT}-H2O-NH3, a{GHL[Acetyl]}-H2O	
304.17891	0.6	3/100	0.7%	?	?	?	?	
304.18712	1.3	12/100	2.3%	304.1867	-1.38	y{AIT}	y{ALT}, y{SVV}, a{AKM}+i, a{CKV}+i	
304.21051	0.3	6/100	0.6%	304.21005	-1.51	a{IL[Acetyl]P}-H2O-NH3+i	a{LL[Acetyl]P}-H2O-NH3+i	
304.21666	1.3	3/100	1.3%	304.21727	2.01	y{KR}+i		
304.65061	2.1	3/100	1.9%	?	?	?	?	
304.66119	0.5	9/100	0.8%	?	?	?	?	
304.66675	0.4	7/100	0.7%	?	?	?	?	
304.67955	0.9	11/100	1.1%	?	?	?	?	
304.68514	0.8	8/100	1.1%	?	?	?	?	
304.80059	0.9	5/100	0.8%	?	?	?	?	
305.01766	3.0	12/100	3.0%	?	?	?	?	
305.05329	2.6	12/100	1.2%	?	?	?	?	
305.07844	6.0	6/100	1.5%	?	?	?	?	
305.11316	1.4	3/100	0.9%	305.1132	0.13	a{ADY}-NH3	b{ASY}-NH3, a{DFS}-NH3, a{EGY}-NH3, b{FSS}-NH3, b{GTY}-NH3, y{ASY}-H2O-NH3, y{FSS}-H2O-NH3, y{GTY}-H2O-NH3	
305.12844	2.3	3/100	1.0%	305.12851	0.23	y{GNN}+i	a{WY}-NH3, a{FGY}-H2O-NH3, a{CQT}, a{MNS}, a{AM[Oxidation]N}, a{GM[Oxidation]Q}, y{M[Oxidation]R}-NH3, a{AC[Carbamidomethyl]T}	
305.13179	1.1	4/100	0.6%	305.13183	0.13	a{AFM}-NH3	a{CFV}-NH3, a{M[Acetyl]PP}-H2O-NH3, a{ADY}-H2O+i, a{ANY}-NH3+i, b{ASY}-H2O+i, a{DFS}-H2O+i, a{EGY}-H2O+i, a{FNS}-NH3+i, b{FSS}-H2O+i, a{GQY}-NH3+i, b{GTY}-H2O+i	
305.13556	2.6	5/100	0.8%	305.13566	0.33	b{AHN}-H2O	b{GHQ}-H2O, a{AEM}+i, b{AMT}+i, a{CDI}+i, a{CDL}+i, a{CEV}+i, b{CIS}+i, b{CLS}+i, b{CTV}+i, y{GMP}+i, y{ACK}-NH3+i, y{AMT}-H2O+i, y{CIS}-H2O+i, y{CLS}-H2O+i, y{CTV}-H2O+i, a{AM[Acetyl]S}+i, a{GM[Acetyl]T}+i, b{GM[Oxidation]V}+i, a{M[Oxidation]PS}+i, y{GM[Oxidation]V}-H2O+i, a{M[Oxidation]TT}-H2O+i, y{TTT}-NH3	
305.13761	0.3	6/100	1.3%	?	?	?	?	
305.16081	1.6	34/100	2.0%	305.16082	0.03	a{AFN}	a{FGQ}, y{FR}-NH3, b{AHI}-NH3, b{AHL}-NH3, b{PPQ}-H2O, y{AHI}-H2O-NH3, y{AHL}-H2O-NH3, b{KNP}-H2O-NH3, a{GHL[Acetyl]}-NH3	
305.16109	0.5	4/100	1.1%	305.16082	-0.88	a{AFN}	a{FGQ}, y{FR}-NH3, b{AHI}-NH3, b{AHL}-NH3, b{PPQ}-H2O, y{AHI}-H2O-NH3, y{AHL}-H2O-NH3, b{KNP}-H2O-NH3, a{GHL[Acetyl]}-NH3	
305.16462	1.6	8/100	1.4%	305.1649	0.92	y{ER}+i	a{CKT}, a{GKM[Oxidation]}	
305.17192	0.7	3/100	1.7%	305.17205	0.43	b{GHK}-H2O	a{HNV}-H2O, a{NPR}-H2O-NH3, a{IMS}+i, a{LMS}+i, a{MTV}+i, a{AIM[Oxidation]}+i, a{ALM[Oxidation]}+i	
305.17706	1.0	8/100	1.2%	?	?	?	?	
305.18192	3.9	52/100	2.0%	305.18195	0.1	y{AKS}	y{GKT}, a{GHR}-H2O	
305.1898	0.5	8/100	0.8%	305.19005	0.82	y{AIT}+i	y{ALT}+i, y{SVV}+i	
305.19533	1.2	11/100	1.7%	?	?	?	?	
305.2008	1.1	9/100	1.2%	?	?	?	?	
305.64746	2.1	6/100	0.6%	?	?	?	?	
305.6692	0.6	8/100	0.9%	?	?	?	?	
305.67466	0.6	9/100	1.0%	?	?	?	?	
305.68727	0.7	12/100	0.8%	?	?	?	?	
305.69284	1.0	12/100	1.1%	?	?	?	?	
305.70547	0.9	12/100	0.7%	?	?	?	?	
305.80464	1.5	9/100	1.5%	?	?	?	?	
305.82097	0.8	7/100	1.6%	?	?	?	?	
306.01796	0.8	12/100	1.4%	?	?	?	?	
306.04853	32.0	18/100	15.2%	?	?	?	?	
306.05505	0.8	8/100	2.0%	?	?	?	?	
306.09141	0.8	12/100	1.3%	306.0914	-0.03	a{DDH}-H2O-NH3+i	b{DHS}-H2O-NH3+i, b{CGY}-H2O, b{C[Carbamidomethyl]Y}-H2O	
306.10865	0.4	5/100	0.8%	306.10845	-0.65	b{DPQ}-H2O-NH3	b{ENP}-H2O-NH3, b{AHM}-H2O-NH3+i, b{CHV}-H2O-NH3+i, a{GHM[Acetyl]}-H2O-NH3+i	
306.11962	2.3	29/100	1.4%	306.11968	0.2	b{ADH}-H2O	b{AHN}-NH3, b{EGH}-H2O, b{GHQ}-NH3, y{AHN}-H2O-NH3, y{GHQ}-H2O-NH3, y{AMT}-NH3+i, y{CIS}-NH3+i, y{CLS}-NH3+i, y{CTV}-NH3+i, y{GM[Oxidation]V}-NH3+i, a{M[Oxidation]TT}-NH3+i	
306.14485	1.9	44/100	1.6%	306.14483	-0.07	y{TW}	a{ADF}, b{AAY}, b{AFS}, a{EFG}, b{FGT}, y{AAY}-H2O, y{AFS}-H2O, b{EPP}-H2O, y{FGT}-H2O, b{PPQ}-NH3, a{STY}-H2O, b{DKP}-H2O-NH3, y{PPQ}-H2O-NH3, b{AL[Acetyl]N}-H2O-NH3, b{GL[Acetyl]Q}-H2O-NH3	
306.15616	2.2	18/100	2.3%	306.15607	-0.29	b{AHP}	y{AHP}-H2O, a{DHV}-H2O, b{GHK}-NH3, a{HNV}-NH3, b{HSV}-H2O, a{DPR}-H2O-NH3, y{GHK}-H2O-NH3, b{PRS}-H2O-NH3, y{IM[Acetyl]}+i, y{LM[Acetyl]}+i, y{L[Acetyl]M}+i	
306.15951	2.7	31/100	2.1%	306.15944	-0.23	y{MR}	a{FW}, a{FFG}-H2O	
306.16614	1.2	12/100	1.6%	306.16596	-0.59	y{ISS}	y{LSS}, y{STV}, a{GHR}-NH3, a{CKT}+i, a{GKM[Oxidation]}+i	
306.18117	2.1	8/100	0.8%	306.18122	0.16	a{AVY}	a{FSV}, a{GIY}, a{GLY}, b{KPP}-NH3, b{IIN}-H2O-NH3, b{ILN}-H2O-NH3, b{IQV}-H2O-NH3, y{KPP}-H2O-NH3, b{LLN}-H2O-NH3, b{LQV}-H2O-NH3, b{AL[Acetyl]P}-H2O, b{GKL[Acetyl]}-H2O-NH3, a{L[Acetyl]NV}-H2O-NH3	
306.18493	0.9	12/100	1.1%	306.1853	1.21	y{AKS}+i	y{GKT}+i	
306.1918	0.4	9/100	1.8%	306.19245	2.12	a{HPV}	a{HIT}-H2O, a{HLT}-H2O, a{PPR}-NH3, b{AIR}-H2O-NH3, b{ALR}-H2O-NH3, a{GL[Acetyl]R}-H2O-NH3	
306.65879	0.4	6/100	0.6%	?	?	?	?	
306.66437	0.3	5/100	0.6%	?	?	?	?	
306.67697	0.9	12/100	0.9%	?	?	?	?	
306.68251	0.4	6/100	0.6%	?	?	?	?	
306.68619	0.5	5/100	0.6%	?	?	?	?	
306.79275	0.7	5/100	0.9%	?	?	?	?	
306.81278	1.3	9/100	2.8%	?	?	?	?	
307.01505	0.5	7/100	0.7%	?	?	?	?	
307.03256	4.8	14/100	4.5%	?	?	?	?	
307.03981	9.4	3/100	9.0%	?	?	?	?	
307.05263	3.1	7/100	2.3%	?	?	?	?	
307.08388	1.0	11/100	1.1%	?	?	?	?	
307.14011	1.5	6/100	1.1%	307.14008	-0.1	a{GNY}	y{AHP}-NH3, a{DHV}-NH3, b{HSV}-NH3, y{HSV}-H2O-NH3, b{INN}-H2O-NH3, b{LNN}-H2O-NH3, b{NQV}-H2O-NH3	
307.14337	4.7	62/100	1.8%	307.14345	0.26	y{CGK}	y{C[Carbamidomethyl]K}, a{FFG}-NH3, b{FPP}-H2O-NH3, b{L[Acetyl]W}-H2O-NH3	
307.15286	0.5	4/100	1.8%	307.15155	-4.26	y{ACI}+i	y{ACL}+i, y{GMV}+i, a{MTT}+i, a{M[Oxidation]SV}+i, a{HNT}-H2O, a{HQS}-H2O, b{ANR}-H2O-NH3, b{GQR}-H2O-NH3	
307.1534	0.5	4/100	1.5%	?	?	?	?	
307.17668	0.3	7/100	1.0%	307.17647	-0.68	a{HIT}-NH3	a{HLT}-NH3, b{INP}-H2O, b{LNP}-H2O, b{PQV}-H2O, a{IQQ}-H2O-NH3, b{KNV}-H2O-NH3, a{LQQ}-H2O-NH3	
307.18775	2.6	12/100	4.4%	307.1877	-0.16	b{APR}-H2O	a{HKS}-H2O, b{GKR}-H2O-NH3, a{NRV}-H2O-NH3	
307.21298	0.5	8/100	0.9%	307.21285	-0.42	b{KPV}-H2O	a{IKQ}-H2O-NH3, a{KLQ}-H2O-NH3	
307.68558	0.2	3/100	0.7%	?	?	?	?	
307.80008	3.5	12/100	3.8%	?	?	?	?	
307.811	0.6	4/100	1.2%	?	?	?	?	
307.81999	0.7	5/100	1.5%	?	?	?	?	
308.03425	0.6	9/100	1.7%	?	?	?	?	
308.04299	1.0	3/100	0.9%	?	?	?	?	
308.05382	1.1	3/100	1.2%	?	?	?	?	
308.06417	26.4	13/100	7.2%	308.0628	-4.45	y{CDS}-NH3+i		
308.07049	0.9	7/100	2.2%	?	?	?	?	
308.08051	0.6	6/100	1.3%	308.08143	2.99	y{ACM}-NH3+i	y{CCV}-NH3+i, a{CM[Oxidation]T}-NH3+i, a{GM[Oxidation]M[Oxidation]}-NH3+i	
308.09098	2.0	6/100	1.9%	308.09108	0.32	y{ACD}	y{CEG}, y{C[Carbamidomethyl]E}	
308.10631	1.0	26/100	1.1%	308.10634	0.1	y{CW}	b{CFG}, a{CSY}-H2O, y{CFG}-H2O, b{MNP}-H2O-NH3, b{C[Carbamidomethyl]F}, y{C[Carbamidomethyl]F}-H2O, b{ADH}-NH3+i, b{EGH}-NH3+i, y{ADH}-H2O-NH3+i, y{EGH}-H2O-NH3+i	
308.11752	1.4	3/100	0.8%	308.11757	0.16	b{GHM}-H2O		
308.12409	0.6	15/100	0.8%	308.1241	0.03	a{DGY}	b{GSY}, y{GSY}-H2O, b{DIN}-H2O-NH3, b{DLN}-H2O-NH3, b{DQV}-H2O-NH3, b{ENV}-H2O-NH3	
308.13538	0.8	4/100	0.8%	308.13533	-0.16	a{DHT}-H2O	a{EHS}-H2O, a{HNT}-NH3, a{HQS}-NH3, b{HST}-H2O, b{NNP}-H2O, b{ADR}-H2O-NH3, b{EGR}-H2O-NH3, a{NQQ}-H2O-NH3	
308.1432	0.3	4/100	0.8%	308.14343	0.75	a{GNY}+i	y{AHP}-NH3+i, a{DHV}-NH3+i, b{HSV}-NH3+i, y{HSV}-H2O-NH3+i, b{INN}-H2O-NH3+i, b{LNN}-H2O-NH3+i, b{NQV}-H2O-NH3+i, a{FGM}, b{MPP}-H2O, a{C[Carbamidomethyl]IP}-H2O-NH3, a{C[Carbamidomethyl]LP}-H2O-NH3	
308.16049	1.3	36/100	1.7%	308.16048	-0.03	a{ATY}	y{AAF}, a{FST}, b{DIP}-H2O, b{DLP}-H2O, b{EPV}-H2O, b{INP}-NH3, b{LNP}-NH3, b{PQV}-NH3, b{DKV}-H2O-NH3, a{EIQ}-H2O-NH3, a{ELQ}-H2O-NH3, b{IQT}-H2O-NH3, y{INP}-H2O-NH3, b{LQT}-H2O-NH3, y{LNP}-H2O-NH3, y{PQV}-H2O-NH3, a{L[Acetyl]NT}-H2O-NH3, a{L[Acetyl]QS}-H2O-NH3	
