mean monoisotopic m/z	average intensity	ms runs	percentage of spectra	theoretical m/z	delta PPM	primary identification	other identifications	labels
171.11277	106.5	4/4	33.0%	171.1128	0.18	b(AV)	b(GI), b(GL), a(PT), y(AV)-H2O, y(GI)-H2O, y(GL)-H2O, a(KS)-NH3	
171.14918	49.5	4/4	15.2%	171.14919	0.06	a(VV)		
172.07167	15.2	3/4	3.3%	172.07167	0.0	b(GN)	b(GGG), y(GN)-H2O, y(GGG)-H2O	
172.11567	6.9	3/4	4.4%	172.11615	2.79	b(AV)+i	b(GI)+i, b(GL)+i, a(PT)+i, y(AV)-H2O+i, y(GI)-H2O+i, y(GL)-H2O+i, a(KS)-NH3+i	
173.05571	13.5	3/4	4.8%	173.05568	-0.17	b(DG)	y(DG)-H2O, y(GN)-NH3, y(GGG)-NH3	
173.09211	63.1	4/4	20.9%	173.09207	-0.23	a(AE)	b(AT), y(GP), y(AT)-H2O	
173.12849	202.7	4/4	37.9%	173.12845	-0.23	a(IS)	a(LS), a(TV)	
175.07139	14.2	4/4	5.6%	175.07133	-0.34	a(DS)	b(SS), y(SS)-H2O	
175.08997	12.5	3/4	2.5%	175.08996	-0.06	a(AM)	a(CV), a(NS)+i, a(GGS)+i	
175.11901	772.0	4/4	72.2%	175.11895	-0.34	y(R)	IR+CO+H2O, IK+CO+H2ON2	
176.10697	6.3	3/4	1.1%	176.10699	0.11	b(IP)-H2O-NH3	b(LP)-H2O-NH3	
176.12209	33.5	3/4	17.2%	176.1223	1.19	y(R)+i	IR+CO+H2O+i, IK+CO+H2ON2+i	
177.10226	21.1	4/4	4.2%	177.10224	-0.11	a(FG)	a(PPW)^2, b(PP)-H2O, a(AAP)-H2O-NH3, b(AIW)-H2O^2, b(ALW)-H2O^2, a(FHI)-NH3^2, a(FHL)-NH3^2, a(KTW)-H2O-NH3^2	
181.06068	25.3	4/5	9.6%	181.06077	0.5	a(DQ)-H2O-NH3	a(EN)-H2O-NH3, b(NT)-H2O-NH3, b(QS)-H2O-NH3, a(ADG)-H2O-NH3, b(AGS)-H2O-NH3, a(EGG)-H2O-NH3, b(GGT)-H2O-NH3	
181.09709	25.8	4/5	9.2%	181.09715	0.33	IY+CO+NH3	a(EP)-H2O, a(PQ)-NH3, b(PT)-H2O, a(AGP)-NH3, a(DK)-H2O-NH3, b(KS)-H2O-NH3, a(AAT)-H2O-NH3, a(GSV)-H2O-NH3	IMM
182.08119	5.7	3/5	1.5%	182.08117	-0.11	y(Y)	a(EP)-NH3, b(PT)-NH3, y(PT)-H2O-NH3, y(DFV)-NH3^2, y(PTY)-NH3^2, b(GHW)-H2O^2	
182.09253	7.8	3/5	1.9%	182.0924	-0.71	b(AQ)-H2O	b(AAG)-H2O	
182.12884	4.8	3/5	2.2%	182.12879	-0.27	b(AK)-H2O	a(IN)-H2O, a(LN)-H2O, a(QV)-H2O, a(AGV)-H2O, a(GGI)-H2O, a(GGL)-H2O	
183.07646	20.0	4/5	7.8%	183.07642	-0.22	b(AE)-H2O	b(AQ)-NH3, b(AAG)-NH3, y(AQ)-H2O-NH3, a(ASS)-H2O-NH3, y(AAG)-H2O-NH3, a(GST)-H2O-NH3	
